"Temperatura","pH","Oxígeno disuelto","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno amoniacal","Nitrógeno total Kjeldahl","Sulfatos","SAAM","DBO Turbiedad","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Sulfuros","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Temp. ambiente","Acidez total","Dureza de calcio","Sólidos totales","Nitrógeno total","fecha","año","mes","est"
14,8,5.88,664,7.1,266.94,36.4,186.22,0.56,0.1,590,6.76,10.12,50.47,0.93,17.46,32.362,5.14,1.9,24,402,0.1,0.1,0.309,3700,770,95000,0.05,0.05,1.309,7.238,5e-04,0.1,5300,53.1,0.02,930000,930000,25,18.31,122.58,426,10.28,2022-01-19,"2022","1","RZ-03"
16,8.1,8.19,1132,9.9,366.41,139.81,230.94,0.58,0.28,0.369,2.9,7.56,10,0.29,12.69,83.485,5.16,2.65,28,709,0.1,0.1,0.154,5700,890,5e-04,0.05,0.05,0.504,0.342,5e-04,0.1,5500,125,0.02,4300,2300,27,15.42,131.14,737,8.21,2022-01-19,"2022","1","RZ-02"
18,8.4,9.9,654,17,185.95,37.46,149.65,0.9,1.88,0.491,1.65,4.04,89.86,0.17,7.29,36.349,5.14,1.86,38,410,0.1,0.1,1.46,7600,950,5e-04,0.05,0.05,0.788,670,5e-04,0.1,7600,70.9,0.02,21000,21000,20,3.98,90.94,448,6.41,2022-01-06,"2022","1","RL-02"
19,7.7,4.82,685,11,189.57,41.99,157.6,0.88,2.64,0.416,1.76,3.13,84.47,0.21,3.52,19.84,5.14,1.44,16,433,0.1,0.1,0.96,7900,940,5e-04,0.05,0.05,0.529,0.05,5e-04,0.1,7800,76,580,930,930,22,6.17,92.54,449,6.19,2022-01-06,"2022","1","RL-01"
21,8,3.9,882,23,270.5,59.69,184.23,1.36,0.2,530,1.76,3.69,85.77,0.16,2.33,28.402,5.14,0.62,14,556,0.1,0.15,1.95,134,0.127,5e-04,0.05,0.05,1.316,520,5e-04,0.1,9600,106,0.02,24000,24000,24,5.37,95.92,570,3.94,2022-01-06,"2022","1","CS-01"
14,7.6,7.94,458,1,131.14,28.06,101.45,0.43,4.12,510,2.16,2.38,53.9,0.18,1.59,7.732,5.14,1.27,7,344,0.1,0.1,0.105,0.0025,298,5e-04,0.05,0.05,0.114,0.05,5e-04,0.1,3700,49.8,0.02,210,210,25,9.11,68.85,344,6.55,2022-02-04,"2022","2","RZ-05"
14,7.8,8.66,438,2.2,155.19,24.39,131.63,0.42,4.16,0.484,1.44,3.33,28.12,0.18,1.8,8.461,5.14,1.42,7,315,0.1,0.1,0.193,0.0025,416,5e-04,0.05,0.05,0.303,0.05,5e-04,0.1,2600,37,0.02,7500,7500,28,8.62,75.62,315,7.97,2022-02-04,"2022","2","RZ-04"
18,7.4,6.2,611,3.7,250.03,38.62,181.27,0.51,0.45,0.411,1.11,4.38,32,0.23,4.35,22.34,5.14,1.47,13,405,0.1,0.1,0.22,0.0025,478,5e-04,0.05,0.05,0.432,1.248,5e-04,0.1,0.0025,60.6,0.02,240,93,24,8.33,104.28,418,5.24,2022-02-04,"2022","2","RZ-03"
18,7.2,5.74,1088,4.3,374,130.75,238.25,0.6,0.17,0.292,1.66,5.6,10,0.17,9.21,60.468,7.02,2.1,21,710,0.1,0.1,0.211,2500,0.08,5e-04,0.05,0.05,0.41,0.252,5e-04,0.1,4000,122.9,0.02,460,460,29,18.52,140.49,731,6.06,2022-02-04,"2022","2","RZ-02"
19,7.7,1,870,12,297.8,54.14,155.02,0.69,0.1,320,6.25,13.13,110.09,0.44,26.4,94.127,5.14,3.21,44,543,0.1,1.06,0.31,6400,930,5e-04,0.05,0.05,0.233,0.268,5e-04,0.1,8600,108.3,0.02,240000,240000,15,18.62,96.51,587,13.16,2022-02-03,"2022","2","RL-02"
19,7.7,2.7,816,34,268.92,54.19,174.69,0.9,0.53,580,1.53,2.96,98.05,0.13,3.33,23.796,5.14,1.17,28,541,0.1,0.23,3.35,121,0.127,5e-04,0.05,0.05,2.227,0.218,5e-04,0.1,7700,93.4,210,43000,23000,17,14.99,103.48,569,3.55,2022-02-03,"2022","2","RL-01"
20,8.6,5.9,883,45,296.81,58.38,186.82,1.17,0.29,310,1.65,3.01,91.15,0.21,4.95,48.744,5.14,0.64,63,574,0.1,0.23,3.8,190,0.136,5e-04,0.05,0.05,2.71,710,5e-04,0.1,8100,105.2,0.02,210000,210000,21,2,98.5,637,3.33,2022-02-03,"2022","2","CS-01"
14,7.6,3.51,680,3,187.26,32.74,119.05,0.34,2.7,0.988,7.39,8.74,52.13,0.18,3.32,23.316,5.52,1.66,10,377,0.1,0.1,0.3909,2700,0.364,5e-04,0.05,0.05,0.391,610,5e-04,0.1,0.0025,58.3,0.02,4600,2400,23,13.93,76.44,387,12.43,2022-03-24,"2022","3","RZ-05"
15,8.7,4.72,501,2,173.97,22.61,120.43,0.36,2.16,490,0.62,2.35,29.79,0.17,1.3,5,5.14,1.13,7,317,0.1,0.5,0.2252,0.0025,338,5e-04,0.05,0.05,0.276,0.05,5e-04,0.1,0.0025,38.9,0.02,11000,11000,31,10.94,77.62,317,4.56,2022-03-24,"2022","3","RZ-04"
22,8.7,3.83,889,12,284.48,60.94,171.99,0.94,0.1,0.636,5.82,7.06,117.35,0.5,13.77,69.939,9.82,1.99,29,576,0.1,0.56,0.1204,7800,950,5e-04,0.05,0.05,920,0.114,5e-04,0.1,0.0025,111.9,0.02,1500000,750000,28,5.77,111.5,605,7.7,2022-03-15,"2022","3","RL-02"
23,8.7,5.5,922,16,295.91,60.6,191.86,0.97,0.1,210,3.19,5.49,94.59,0.32,3.33,33.619,5.14,0.98,15,588,0.1,0.48,1.7936,193,0.138,5e-04,0.05,0.05,0.878,0.114,5e-04,0.1,0.0025,111.2,890,2400,2400,26,6.47,108.35,603,5.51,2022-03-15,"2022","3","RL-01"
22,9.3,5.19,911,50,297.9,61.52,192.84,1.26,0.1,210,3.3,4.7,97.38,0.34,3.39,37.774,5.14,0.68,63.41,594.59,0.1,1.61,1.0805,198,320,5e-04,0.05,0.05,3.224,730,5e-04,0.1,3000,109.1,0.02,75000,75000,25,2,111.9,658,4.72,2022-03-15,"2022","3","CS-01"
15,7.7,8.06,514,3,170.5,20.39,127.12,0.2,3.9,370,1.01,2.3,24.41,0.1,1.65,13.085,5.14,1.21,8,319,0.1,0.68,0.2465,0.0025,365,5e-04,0.05,0.05,0.281,0.05,5e-04,0.1,0.0025,39.7,0.02,1500,1500,21,6.24,78.6,327,6.24,2022-04-05,"2022","4","RZ-05"
15,8,7.83,448,1.7,139.2,29.55,106.85,1.26,3.93,290,0.9,2.74,43.51,0.1,1.65,10.804,5.14,1.26,7,352,0.1,0.6,0.1035,0.0025,355,5e-04,0.05,0.05,0.12,0.05,5e-04,0.1,0.0025,54.7,0.02,4600,4600,25,6.53,75.06,352,6.7,2022-04-05,"2022","4","RZ-04"
24,8.4,5.87,914,23,313.87,62.77,209.55,0.74,0.12,0.03,1.01,2.86,94.29,0.1,3.17,36.727,5.14,0.79,20,619,0.1,0.36,2.495,179,0.144,5e-04,0.05,0.05,1.303,710,5e-04,0.1,3100,111.5,0.02,750,430,25,2,113.93,639,3.01,2022-04-06,"2022","4","RL-01"
24,8.7,6.18,905,70,307.38,61.86,208.14,0.87,0.1,0.01,0.73,4.2,92.11,0.1,5.61,28.379,5.14,0.72,78,618,0.1,1.04,6.36,178,0.156,5e-04,0.05,0.05,3.529,840,5e-04,0.1,4800,109.5,0.02,93000,93000,30,2,113.52,696,4.2,2022-04-06,"2022","4","CS-01"
17,7.7,6.71,520,1,144.18,31.97,215.85,0.5,4.38,180,1.63,1.98,48.12,0.4,2.62,12.767,5.14,2.15,7,350,0.1,0.1,840,0.0025,290,5e-04,0.05,0.05,0.109,0.05,5e-04,0.1,3200,55.1,0.02,1500,1500,32,5.81,130.94,350,6.38,2022-05-04,"2022","5","RZ-05"
17,7.7,7.47,465,2.3,166.76,23.38,181.03,0.37,4.37,280,1.34,2.33,24.39,0.36,2.11,7.18,5.14,2.12,7,311,0.1,0.1,0.147,0.0025,320,5e-04,0.05,0.05,0.244,0.05,5e-04,0.1,0.0025,37.1,0.02,11000,11000,32,7.68,93.53,311,6.73,2022-05-04,"2022","5","RZ-04"
21,8,7.84,830,11,328.68,66.53,226.39,0.5,0.23,0.147,1.98,5.53,10,0.45,16.41,52.7,5.14,1.3,29.33,521.67,0.1,0.1,0.177,0.0025,940,5e-04,0.05,0.05,0.89,0.54,5e-04,0.1,0.0025,82.3,0.02,1100,1100,32,8.57,141.09,551,5.91,2022-05-04,"2022","5","RZ-03"
24,8.3,3.41,835,20,322.7,64.51,212.67,1.22,0.57,0.102,0.95,1.85,103.65,0.42,1.76,29.299,5.64,0.91,16,623,0.1,0.1,1.63,258,0.15,5e-04,0.05,0.05,0.95,740,5e-04,0.1,7100,118.3,640,46000,24000,29,2,117.21,639,2.52,2022-05-03,"2022","5","RL-01"
25,8.7,4.91,818,75,321.71,65.81,210.88,1.35,0.3,380,1.06,2.13,100.45,0.46,4.59,31.731,5.14,0.73,86,610,0.1,0.1,5.58,247,0.157,52000,0.05,0.05,3.491,830,91000,0.1,6200,114.6,0.03,110000,46000,32,2,115.42,696,2.47,2022-05-03,"2022","5","CS-01"
16,7.1,6.02,205,2700,105.53,21.76,83.36,0.62,3.31,0.494,1.38,8.25,29.53,0.41,19.08,93.258,5.41,2.55,2110,588.09,0.5,0.1,89.6,6500,0.47,5e-04,620,0.05,83.732,2.549,5e-04,0.1,491,10,0.146,2400000,2400000,23,18.71,33.83,2698,12.05,2022-06-07,"2022","6","RZ-05"
17,7.5,7.07,280,1300,127.71,18.7,92.51,0.62,3.25,0.967,2.48,8.3,30.99,0.65,22.08,94.474,6.57,1.8,940.91,558.09,1.5,0.1,50.6,5300,0.26,5e-04,0.05,0.05,48.801,1.447,5e-04,0.1,229,14.4,0.112,460000,460000,25,20.29,45.77,1499,12.52,2022-06-07,"2022","6","RZ-04"
21,7.2,2.72,400,240,141.57,25.11,126.53,0.53,0.75,1.102,2.59,5.25,35.6,0.75,10.68,32.816,5.86,1.19,277.27,282.73,0.1,0.1,17,0.0025,0.102,5e-04,0.05,0.05,0.287,0.535,5e-04,0.1,5200,25.5,440,1500000,1500000,28,17.72,54.72,560,7.1,2022-06-07,"2022","6","RZ-03"
25,7.5,6.08,964,4.7,342.97,68.53,216.65,1,0.17,110,1.04,4.21,56.79,0.26,2.36,22.824,6.5,0.64,10,644,0.1,0.1,0.296,241,0.14,5e-04,0.05,0.05,0.14,710,5e-04,0.1,5300,117.4,0.02,4600,4600,26,7.92,122.78,654,4.39,2022-06-07,"2022","6","RL-01"
27,8.2,3.72,967,65,354.43,70.37,227.19,1.11,0.22,110,0.92,3.52,67.77,0.32,5.23,36.595,5.14,0.77,97,654,0.1,0.1,5.7,336,0.165,56000,0.05,0.05,3.481,820,5e-04,0.1,117,116.6,0.02,110000,46000,31,2,126.56,751,3.75,2022-06-07,"2022","6","CS-01"
19,7,5.98,234,700,115.63,9.25,101.03,0.46,2.61,0.601,3.14,13.28,33.7,0.79,20.94,84.998,37.65,2.14,713.33,244.67,1.7,0.1,34.8,0.0025,0.236,5e-04,0.05,0.05,30.915,0.712,5e-04,0.1,149,10,0.382,4600000,4600000,27,26.73,61.38,958,16.49,2022-07-04,"2022","7","RZ-05"
19,7.1,6.98,236,1200,158.2,15.26,93.29,0.49,0.95,0.341,0.99,4.83,33,0.47,13.56,91.644,35.87,2.47,1038.89,251.11,2,0.1,47.4,0.0025,0.272,5e-04,0.05,0.05,46.146,1.471,5e-04,0.1,209,13.2,0.637,1100000,460000,28,26.43,43.56,1290,6.12,2022-07-04,"2022","7","RZ-04"
20,6.6,3.73,226,1300,116.32,13.5,95.87,0.46,2.96,0.993,0.76,5.36,33.99,0.47,18.06,96.417,35.29,1.39,1300,234,2.5,0.1,53.2,0.0025,0.282,5e-04,0.05,0.05,50.781,1.431,5e-04,0.1,221,10.1,0.378,1100000,1100000,28,27.62,50.29,1534,9.31,2022-07-04,"2022","7","RZ-03"
25,7.3,5.17,379,20,152.95,18,91.3,0.56,0.16,390,1.28,2.68,30.63,0.39,10.8,23.219,21.65,1.31,20,268,0.1,0.63,2.035,0.0025,780,5e-04,0.05,0.05,1.446,0.192,5e-04,0.1,0.0025,33.8,0.02,11000,11000,23,16.04,55.64,288,2.88,2022-07-05,"2022","7","RL-01"
17,6.7,7.42,110,3700,73.48,10.22,73.83,0.81,1.55,0.488,0.86,8.45,10,0.43,13.56,46.37,10.77,0.96,3856.25,1122.75,3,0.34,99.8,0.0025,0.764,5e-04,0.1,770,117.344,4.864,5e-04,0.107,873,10,0.205,930000,430000,20,20.4,31.84,4979,10.49,2022-08-03,"2022","8","RZ-05"
19,6.8,7.61,114,3200,79.69,9.59,79.02,0.67,1.27,0.804,1.14,9.37,10.86,0.47,14.64,42.603,9.05,0.93,4157.14,760.86,6,0.49,102,0.0025,0.78,5e-04,0.129,740,120.367,4.887,5e-04,0.121,877,10,0.226,4600000,1500000,26,18.17,24.48,4918,11.44,2022-08-03,"2022","8","RZ-04"
20,6.8,5.41,288,750,85.39,9.98,89.99,0.4,0.99,0.602,0.97,3.48,10,0.4,16.08,84.235,5.14,0.97,1050,309,2.4,0.61,43.6,0.0025,0.249,5e-04,0.05,0.05,41.778,1.469,5e-04,0.1,267,10,920,460000,460000,25,17.46,40.79,1359,5.07,2022-08-03,"2022","8","RZ-03"
21,6.6,3.99,268,1050,103.29,12.63,90.79,0.72,0.98,0.682,1.26,4.11,10,0.42,16.92,59.806,7.12,1.05,562.5,493.5,0.2,0.37,48,0.0025,0.179,5e-04,0.05,0.05,39.187,0.559,5e-04,0.1,245,10,810,46000,46000,30,17.05,32.24,1056,5.77,2022-08-03,"2022","8","RZ-02"
23,6.4,3.12,454,380,129.37,23.77,136.09,0.58,3.9,0.292,0.52,2.56,86.34,0.39,15.72,52.593,8.41,1.2,471.43,350.57,0.1,0.1,33.2,0.0025,0.247,1470,0.05,0.05,17.747,0.389,5e-04,0.1,247,39.4,700,43000,43000,23,15.73,81.59,822,6.75,2022-08-02,"2022","8","RL-02"
23,6,3.16,334,310,115.4,13.84,104.16,0.63,0.99,1.016,1.4,2.04,55.88,0.44,8.52,38.31,8.04,0.83,340.54,327.46,0.1,0.1,34.3,0.0025,0.191,5e-04,0.05,0.05,14.811,0.303,5e-04,0.1,103,23.3,540,110000,46000,25,16.14,60.69,668,4.05,2022-08-02,"2022","8","RL-01"
22,5.7,2.35,326,450,145.93,19.14,99.57,0.36,0.16,0.993,2.1,3.32,29.85,0.51,7.44,41.099,8.89,0.9,188.57,402.43,0.1,0.1,26.1,0.0025,0.136,5e-04,0.05,0.05,18.46,0.301,5e-04,0.1,0.01,20.2,430,460000,460000,27,27.3,55.12,591,4.47,2022-08-02,"2022","8","CS-01"
19,7.6,6.49,262,70,44.77,11.81,83.96,0.42,24.85,0.649,0.5,0.93,17.18,0.29,9.54,41.023,11.23,0.37,62,221,0.1,1.49,6.9,0.0025,0.129,5e-04,0.05,0.05,4.205,0.116,5e-04,0.1,3000,10,0.02,1.1e+07,1.1e+07,22,6.73,50.83,283,26.43,2022-09-20,"2022","9","RZ-05"
20,8.1,7.42,209,140,69.85,13.98,77.64,0.43,8.77,0.373,0.5,1.28,10,0.15,7.2,21.47,6.75,0.43,116,219,0.1,1.07,7.8,0.0025,0.154,5e-04,0.05,0.05,8.98,0.18,5e-04,0.1,2700,10,0.02,1500000,930000,25,5.74,40.38,335,10.42,2022-09-20,"2022","9","RZ-04"
20,7.6,5.98,225,280,91.44,14.17,81.2,0.44,9.13,0.31,0.5,1.63,10,0.1,6.9,29.438,14.22,0.64,124,379,0.3,1.15,30.6,0.0025,0.197,5e-04,0.05,0.05,16.102,0.35,5e-04,0.1,6800,10,0.03,4600000,4600000,26,8.91,42.35,503,11.07,2022-09-20,"2022","9","RZ-03"
21,7.6,6.09,206,800,91.94,16.92,78.04,0.6,24.01,0.501,0.23,2.62,10,0.1,7.62,67.753,14.14,0.9,879.49,224.51,0.5,0.46,40.8,0.0025,0.249,5e-04,0.05,0.05,40.751,0.745,5e-04,0.1,213,10,780,150000,150000,27,12.47,45.31,1104,27.13,2022-09-20,"2022","9","RZ-02"
24,7.6,3.31,614,55,153.03,40.74,136.32,0.74,6.91,0.918,2.15,2.62,90.13,0.15,9.21,49.85,16.68,1.96,69,424,0.1,0.1,7.64,5000,0.142,5e-04,0.05,0.05,3.296,0.246,5e-04,0.1,9200,63.7,0.02,460000,240000,21,14.85,90.62,493,10.45,2022-09-27,"2022","9","RL-02"
24,7.4,3,374,90,126.76,21.55,101.55,0.48,1.96,290,0.7,1.63,10,0.1,7.14,26.835,7.37,1.02,7,391,0.1,0.1,10.92,0.0025,0.115,5e-04,0.05,0.05,5.392,0.248,5e-04,0.1,4500,29.5,220,46000,46000,22,11.38,61.46,391,3.62,2022-09-27,"2022","9","RL-01"
22,7.4,2.68,339,19,125.17,19.28,112.81,0.4,4.49,2.575,1.28,3.67,10,0.15,4.35,25.838,6.58,0.57,25,219,0.1,0.1,2.425,0.0025,0.102,5e-04,0.05,0.05,1.758,0.282,5e-04,0.1,4300,16.2,0.02,1100000,460000,25,11.09,61.07,244,10.74,2022-09-27,"2022","9","CS-01"
18,7.2,7.09,219,50,74.25,16.2,77.37,0.35,3.69,0.931,0.5,1.44,10,0.19,4.2,27.888,5.14,0.56,36,204,0.1,0.1,5.32,0.0025,0.131,5e-04,0.05,0.05,3.883,850,5e-04,0.1,2700,10,0.02,4600000,4600000,22,7.96,38.01,240,6.06,2022-10-10,"2022","10","RZ-05"
18,7.5,7.56,215,65,86.62,13.35,99.1,0.59,3.45,0.343,0.5,0.72,10,0.15,3.87,26.184,5.14,0.33,58,189,0.2,0.1,1.74,0.0025,0.123,5e-04,0.05,0.05,5.519,0.142,5e-04,0.1,2700,10,0.02,240000,240000,27,6.87,40.2,247,4.51,2022-10-10,"2022","10","RZ-04"
19,7.1,6.23,173,75,92.96,13.6,93.32,0.49,3.35,0.318,0.5,0.5,10,0.14,3.36,26.639,9.01,0.36,91,191,0.1,0.1,2.09,0.0025,970,5e-04,0.05,0.05,6.353,0.16,5e-04,0.1,3200,10,0.02,93000,93000,25,7.66,45.97,282,3.67,2022-10-10,"2022","10","RZ-03"
20,7.3,4.08,270,190,108.6,19.04,91.72,0.58,3.34,0.397,0.5,2.82,10,0.15,6.51,39.311,43.51,0.51,225,225,0.4,0.1,17,0.0025,0.122,5e-04,0.05,0.05,5.23,0.363,5e-04,0.1,7400,10.1,0.03,46000,46000,31,10.94,52.14,450,6.56,2022-10-10,"2022","10","RZ-02"
24,7.3,2.7,685,45,151.44,38.33,140.46,0.87,4.54,1.246,0.9,3.23,85.28,0.14,7.35,32.227,13.39,2.72,37,427,0.1,0.15,3.96,0.0025,0.122,83000,0.05,0.05,2.519,0.32,5e-04,0.1,151,64.4,0.02,460000,240000,28,11.68,94.17,464,9.02,2022-10-03,"2022","10","RL-02"
25,7.2,3.8,759,50,127.36,18.46,110.44,0.56,1.02,340,0.5,2.58,43.19,0.11,7.83,25.962,15.09,1.46,41,304,0.1,0.49,7.82,0.0025,0.179,70000,0.05,0.05,3.353,0.243,5e-04,0.1,103,34.4,0.02,46000,46000,27,9.8,66.78,345,3.63,2022-10-03,"2022","10","RL-01"
22,7.3,2.73,734,5.4,145.57,20.83,122.09,0.39,0.98,3.455,1.2,4.07,20.26,0.23,5.52,27.961,5.14,0.78,12,234,0.1,20.26,1.18,0.0025,890,76000,0.05,0.05,0.719,0.328,5e-04,0.1,6000,22.7,0.02,1100000,1100000,27,11.38,67.18,246,8.5,2022-10-03,"2022","10","CS-01"
17,7.7,6.25,423,2.8,127.51,23.51,104.09,0.64,5.13,1.182,1.06,2.82,27.76,0.17,3.73,34.586,7.54,1.17,7,294,0.1,0.1,0.745,0.0025,710,5e-04,0.05,0.05,0.389,0.05,5e-04,0.1,3500,32.6,210,46000,24000,26,8.51,63.68,294,9.13,2022-11-17,"2022","11","RZ-05"
16,7.9,7.59,545,5.9,131.27,25.45,109.67,0.53,0.97,0.16,0.94,3.23,11.54,0.1,4.52,37.747,6.85,0.3,30,216,0.1,0.92,0.92,0.0025,960,5e-04,0.05,0.05,1.52,970,5e-04,0.1,2600,17,220,46000,24000,28,9.8,62.29,246,4.36,2022-11-17,"2022","11","RZ-04"
18,7.5,4.22,511,4.4,152.95,24.19,151.14,0.5,3.13,1.697,0.5,2.47,21.15,0.1,2.83,30.672,5.52,0.35,7,290,0.1,0.1,0.374,0.0025,820,5e-04,0.05,0.05,0.6,610,5e-04,0.1,3300,24,0.02,46000,46000,29,9.01,73.83,290,7.3,2022-11-17,"2022","11","RZ-03"
20,7.7,3.58,526,38,209.19,42.79,156.13,0.57,0.17,0.16,2.76,4.82,23.02,0.16,7.62,80.61,19.56,0.77,141,330,0.6,0.37,24,0.0025,0.96,5e-04,0.05,0.05,11.294,1.266,5e-04,0.1,185,38,730,110000,110000,31,9.31,85.57,471,5.15,2022-11-17,"2022","11","RZ-02"
20,8.2,5.6,928,26,269.96,55.22,214.75,1.56,3.45,1.294,0.5,1.94,132.1,0.13,2.41,31.515,8.76,1.63,17,621,0.1,0.1,6.34,5000,0.194,58000,0.05,0.05,1.708,0.141,5e-04,0.1,142,105,280,46000,46000,25,12.77,135.32,638,6.68,2022-11-22,"2022","11","RL-02"
21,7.8,6.8,433,27,161.17,29.92,115.45,0.68,0.21,790,0.5,0.94,40.12,0.11,2.02,24.376,10.65,0.44,42,286,0.1,0.46,9.18,0.0025,0.124,5e-04,0.05,0.05,1.998,0.102,5e-04,0.1,6300,40.9,230,460,460,27,6.93,68.06,328,1.23,2022-11-22,"2022","11","RL-01"
21,8.4,4.5,439,24,310.38,74.11,205.18,1.42,0.1,360,0.5,2.41,87.51,0.15,2.24,41.762,5.5,0.38,18,611,0.1,1.09,6.8,7100,0.194,52000,0.05,0.05,1.438,820,5e-04,0.1,124,106.3,0.02,110000,110000,28,2,115.82,629,2.45,2022-11-22,"2022","11","CS-01"
18,7.6,6.29,429,3,125.33,25.3,108.07,0.28,6.69,0.914,0.5,4.02,28.15,0.21,3.85,14.588,6.87,0.8,7,305,0.1,0.1,2.25,0.0025,0.167,5e-04,0.05,0.05,0.442,0.05,5e-04,0.1,0.0025,32.7,430,110000,46000,22,7.23,64.87,312,11.62,2022-12-07,"2022","12","RZ-05"
17,7.8,7.58,365,4.5,133.15,14.96,115.85,0.46,4.31,1.07,0.53,1.98,14.84,0.15,2.88,12.392,5.25,0.34,7,250,0.1,0.1,0.76,0.0025,0.192,5e-04,0.05,0.05,0.469,0.05,5e-04,0.1,0.0025,20.8,0.02,4600,2400,19,4.95,64.67,250,7.36,2022-12-07,"2022","12","RZ-04"
17,7.5,4.7,415,3.7,165.23,17.77,141.97,0.3,1.87,1.424,0.76,2.97,19.18,0.31,3.18,18.536,7.17,0.45,7,277,0.1,0.1,1.43,0.0025,0.185,5e-04,0.05,0.05,0.438,820,5e-04,0.1,4100,26.6,0.02,460000,240000,22,8.41,76.02,277,6.26,2022-12-07,"2022","12","RZ-03"
24,7.2,3.22,585,30,230.47,45.7,171.88,0.4,0.1,0.377,1.23,4.83,16.4,0.26,102.3,189.676,7.74,1.52,29,421,0.1,4.74,9.85,0.0025,0.221,5e-04,0.05,0.05,1.225,0.418,5e-04,0.1,2700,49.5,230,460000,460000,27,17.32,96.71,450,5.21,2022-12-07,"2022","12","RZ-02"
20,7.9,2.63,943,19,286.92,57.11,209.77,1.17,3.46,0.09,0.59,3.03,140.09,0.22,3.09,17.611,8.04,1.39,10,633,0.1,0.74,3.52,7200,0.23,5e-04,0.05,0.05,0.999,0.119,5e-04,0.1,9000,107.4,250,4600,2400,23,7.03,129.35,643,8.58,2022-12-06,"2022","12","RL-02"
21,7.4,4.61,450,27,172.26,21.17,119.44,0.55,0.16,0.121,2,2.41,63.69,0.13,2.53,8.026,6.41,0.55,29,307,0.1,0.8,15.8,0.0025,0.189,5e-04,0.05,0.05,1.67,0.129,5e-04,0.1,4400,45.9,220,1100,240,27,8.81,69.45,336,2.69,2022-12-06,"2022","12","RL-01"
22,8.1,4.58,927,22,315.37,60.9,207.38,0.97,0.1,0.02,0.88,2.68,96.29,0.15,8.48,24.003,6.38,0.5,14,600,0.1,1.65,11.3,115,0.236,5e-04,0.05,0.05,1.148,780,5e-04,0.1,8400,105.3,0.02,46000,24000,28,2,121.99,614,2.7,2022-12-06,"2022","12","CS-01"
